A
B
C
E
F
G
H
I
J
A,B
A,C
A,E
A,F
A,G
A,H
A,I
A,J
B,C
B,E
B,F
B,G
B,H
B,I
B,J
C,E
C,F
C,G
C,H
C,I
C,J
E,F
E,G
E,H
E,I
E,J
F,G
F,H
F,I
F,J
G,H
G,I
G,J
H,I
H,J
I,J
A,B,C
A,B,E
A,B,F
A,B,G
A,B,H
A,B,I
A,B,J
A,C,E
A,C,F
A,C,G
A,C,H
A,C,I
A,C,J
A,E,F
A,E,G
A,E,H
A,E,I
A,E,J
A,F,G
A,F,H
A,F,I
A,F,J
A,G,H
A,G,I
A,G,J
A,H,I
A,H,J
A,I,J
B,C,E
B,C,F
B,C,G
B,C,H
B,C,I
B,C,J
B,E,F
B,E,G
B,E,H
B,E,I
B,E,J
B,F,G
B,F,H
B,F,I
B,F,J
B,G,H
B,G,I
B,G,J
B,H,I
B,H,J
B,I,J
C,E,F
C,E,G
C,E,H
C,E,I
C,E,J
C,F,G
C,F,H
C,F,I
C,F,J
C,G,H
C,G,I
C,G,J
C,H,I
C,H,J
C,I,J
E,F,G
E,F,H
E,F,I
E,F,J
E,G,H
E,G,I
E,G,J
E,H,I
E,H,J
E,I,J
F,G,H
F,G,I
F,G,J
F,H,I
F,H,J
F,I,J
G,H,I
G,H,J
G,I,J
H,I,J
A,B,C,E
A,B,C,F
A,B,C,G
A,B,C,H
A,B,C,I
A,B,C,J
A,B,E,F
A,B,E,G
A,B,E,H
A,B,E,I
A,B,E,J
A,B,F,G
A,B,F,H
A,B,F,I
A,B,F,J
A,B,G,H
A,B,G,I
A,B,G,J
A,B,H,I
A,B,H,J
A,B,I,J
A,C,E,F
A,C,E,G
A,C,E,H
A,C,E,I
A,C,E,J
A,C,F,G
A,C,F,H
A,C,F,I
A,C,F,J
A,C,G,H
A,C,G,I
A,C,G,J
A,C,H,I
A,C,H,J
A,C,I,J
A,E,F,G
A,E,F,H
A,E,F,I
A,E,F,J
A,E,G,H
A,E,G,I
A,E,G,J
A,E,H,I
A,E,H,J
A,E,I,J
A,F,G,H
A,F,G,I
A,F,G,J
A,F,H,I
A,F,H,J
A,F,I,J
A,G,H,I
A,G,H,J
A,G,I,J
A,H,I,J
B,C,E,F
B,C,E,G
B,C,E,H
B,C,E,I
B,C,E,J
B,C,F,G
B,C,F,H
B,C,F,I
B,C,F,J
B,C,G,H
B,C,G,I
B,C,G,J
B,C,H,I
B,C,H,J
B,C,I,J
B,E,F,G
B,E,F,H
B,E,F,I
B,E,F,J
B,E,G,H
B,E,G,I
B,E,G,J
B,E,H,I
B,E,H,J
B,E,I,J
B,F,G,H
B,F,G,I
B,F,G,J
B,F,H,I
B,F,H,J
B,F,I,J
B,G,H,I
B,G,H,J
B,G,I,J
B,H,I,J
C,E,F,G
C,E,F,H
C,E,F,I
C,E,F,J
C,E,G,H
C,E,G,I
C,E,G,J
C,E,H,I
C,E,H,J
C,E,I,J
C,F,G,H
C,F,G,I
C,F,G,J
C,F,H,I
C,F,H,J
C,F,I,J
C,G,H,I
C,G,H,J
C,G,I,J
C,H,I,J
E,F,G,H
E,F,G,I
E,F,G,J
E,F,H,I
E,F,H,J
E,F,I,J
E,G,H,I
E,G,H,J
E,G,I,J
E,H,I,J
F,G,H,I
F,G,H,J
F,G,I,J
F,H,I,J
G,H,I,J
A,B,C,E,F
A,B,C,E,G
A,B,C,E,H
A,B,C,E,I
A,B,C,E,J
A,B,C,F,G
A,B,C,F,H
A,B,C,F,I
A,B,C,F,J
A,B,C,G,H
A,B,C,G,I
A,B,C,G,J
A,B,C,H,I
A,B,C,H,J
A,B,C,I,J
A,B,E,F,G
A,B,E,F,H
A,B,E,F,I
A,B,E,F,J
A,B,E,G,H
A,B,E,G,I
A,B,E,G,J
A,B,E,H,I
A,B,E,H,J
A,B,E,I,J
A,B,F,G,H
A,B,F,G,I
A,B,F,G,J
A,B,F,H,I
A,B,F,H,J
A,B,F,I,J
A,B,G,H,I
A,B,G,H,J
A,B,G,I,J
A,B,H,I,J
A,C,E,F,G
A,C,E,F,H
A,C,E,F,I
A,C,E,F,J
A,C,E,G,H
A,C,E,G,I
A,C,E,G,J
A,C,E,H,I
A,C,E,H,J
A,C,E,I,J
A,C,F,G,H
A,C,F,G,I
A,C,F,G,J
A,C,F,H,I
A,C,F,H,J
A,C,F,I,J
A,C,G,H,I
A,C,G,H,J
A,C,G,I,J
A,C,H,I,J
A,E,F,G,H
A,E,F,G,I
A,E,F,G,J
A,E,F,H,I
A,E,F,H,J
A,E,F,I,J
A,E,G,H,I
A,E,G,H,J
A,E,G,I,J
A,E,H,I,J
A,F,G,H,I
A,F,G,H,J
A,F,G,I,J
A,F,H,I,J
A,G,H,I,J
B,C,E,F,G
B,C,E,F,H
B,C,E,F,I
B,C,E,F,J
B,C,E,G,H
B,C,E,G,I
B,C,E,G,J
B,C,E,H,I
B,C,E,H,J
B,C,E,I,J
B,C,F,G,H
B,C,F,G,I
B,C,F,G,J
B,C,F,H,I
B,C,F,H,J
B,C,F,I,J
B,C,G,H,I
B,C,G,H,J
B,C,G,I,J
B,C,H,I,J
B,E,F,G,H
B,E,F,G,I
B,E,F,G,J
B,E,F,H,I
B,E,F,H,J
B,E,F,I,J
B,E,G,H,I
B,E,G,H,J
B,E,G,I,J
B,E,H,I,J
B,F,G,H,I
B,F,G,H,J
B,F,G,I,J
B,F,H,I,J
B,G,H,I,J
C,E,F,G,H
